epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,219.702,2.44736,3.27445,2.06208,0.22047,0.21053,0.09257,0.02065,2.57566,2.91511,1.93138,6e-05,6e-05,6e-05
2,496.642,2.06002,2.42159,1.67348,0.31419,0.38596,0.2471,0.07386,2.37117,3.39679,1.79864,0.000137228,0.000137228,0.000137228
3,763.39,1.89628,1.93587,1.58187,0.49901,0.21053,0.27217,0.0888,2.36491,2.32275,1.78953,0.000211288,0.000211288,0.000211288
4,1061.39,2.0395,1.84279,1.60506,0.25506,0.22807,0.16088,0.04516,2.39498,2.80451,1.75536,0.00028218,0.00028218,0.00028218
5,1315.42,1.92691,1.77693,1.49787,0.66621,0.14035,0.17026,0.06641,2.28621,2.78921,1.69789,0.000349904,0.000349904,0.000349904
6,1599.27,1.87423,1.69336,1.46575,0.22203,0.21053,0.17789,0.06578,2.2555,2.68899,1.6645,0.00041446,0.00041446,0.00041446
7,1861.68,1.82445,1.71132,1.44287,0.18597,0.15789,0.09022,0.02806,2.32098,2.7703,1.73239,0.000475848,0.000475848,0.000475848
8,2116.36,1.80742,1.54515,1.44635,0.25531,0.21661,0.16682,0.05886,2.2975,2.63014,1.66853,0.000534068,0.000534068,0.000534068
9,2394.99,1.83055,1.64399,1.50667,0.40494,0.24561,0.23024,0.08295,2.28809,2.59604,1.70999,0.00058912,0.00058912,0.00058912
10,2673,1.79108,1.59772,1.45785,0.39638,0.21053,0.22052,0.08253,2.28859,2.76289,1.74074,0.000641004,0.000641004,0.000641004
11,2961.72,1.7543,1.46661,1.36467,0.25373,0.31579,0.17246,0.07568,2.33762,2.77996,1.70327,0.00068972,0.00068972,0.00068972
12,3264.38,1.75957,1.5726,1.45708,0.28157,0.37132,0.24625,0.09012,2.3486,2.25164,1.74099,0.000735268,0.000735268,0.000735268
13,3541.97,1.80315,1.50408,1.43889,0.36161,0.24561,0.18855,0.05792,2.48859,2.45193,1.85237,0.000777648,0.000777648,0.000777648
14,3827.95,1.75354,1.48457,1.44834,0.47496,0.2807,0.25558,0.07538,2.46359,2.38407,1.80125,0.00081686,0.00081686,0.00081686
15,4102.89,1.6991,1.4794,1.41411,0.17606,0.26316,0.114,0.03439,2.62736,2.66605,1.90921,0.000852904,0.000852904,0.000852904
16,4372.73,1.6185,1.31431,1.34111,0.20582,0.26316,0.13327,0.04085,2.61313,2.58953,1.90777,0.00088578,0.00088578,0.00088578
